encabezado	informacion
777 	 sp|P57549|LON_BUCAI 	 FunFam 	 1
777 	 sp|P57549|LON_BUCAI 	 CDD 	 313
777 	 sp|P57549|LON_BUCAI 	 Gene3D 	 253
777 	 sp|P57549|LON_BUCAI 	 SMART 	 10
777 	 sp|P57549|LON_BUCAI 	 Gene3D 	 1
777 	 sp|P57549|LON_BUCAI 	 ProSiteProfiles 	 592
777 	 sp|P57549|LON_BUCAI 	 FunFam 	 313
777 	 sp|P57549|LON_BUCAI 	 Pfam 	 570
777 	 sp|P57549|LON_BUCAI 	 Gene3D 	 122
777 	 sp|P57549|LON_BUCAI 	 Pfam 	 10
777 	 sp|P57549|LON_BUCAI 	 FunFam 	 491
777 	 sp|P57549|LON_BUCAI 	 FunFam 	 120
777 	 sp|P57549|LON_BUCAI 	 PIRSF 	 1
777 	 sp|P57549|LON_BUCAI 	 ProSitePatterns 	 676
777 	 sp|P57549|LON_BUCAI 	 Gene3D 	 491
777 	 sp|P57549|LON_BUCAI 	 SUPERFAMILY 	 595
777 	 sp|P57549|LON_BUCAI 	 SUPERFAMILY 	 10
777 	 sp|P57549|LON_BUCAI 	 FunFam 	 585
777 	 sp|P57549|LON_BUCAI 	 Pfam 	 352
777 	 sp|P57549|LON_BUCAI 	 ProSiteProfiles 	 11
777 	 sp|P57549|LON_BUCAI 	 SUPERFAMILY 	 313
777 	 sp|P57549|LON_BUCAI 	 PRINTS 	 673
777 	 sp|P57549|LON_BUCAI 	 PRINTS 	 703
777 	 sp|P57549|LON_BUCAI 	 PRINTS 	 356
777 	 sp|P57549|LON_BUCAI 	 PRINTS 	 726
777 	 sp|P57549|LON_BUCAI 	 PRINTS 	 595
777 	 sp|P57549|LON_BUCAI 	 FunFam 	 252
777 	 sp|P57549|LON_BUCAI 	 Gene3D 	 313
777 	 sp|P57549|LON_BUCAI 	 SMART 	 348
777 	 sp|P57549|LON_BUCAI 	 Gene3D 	 587
777 	 sp|P57549|LON_BUCAI 	 Hamap 	 11
777 	 sp|P57549|LON_BUCAI 	 NCBIfam 	 12
777 	 sp|P57549|LON_BUCAI 	 PANTHER 	 10
147 	 sp|P57533|RIBD1_BUCAI 	 CDD 	 7
147 	 sp|P57533|RIBD1_BUCAI 	 SUPERFAMILY 	 3
147 	 sp|P57533|RIBD1_BUCAI 	 ProSiteProfiles 	 1
147 	 sp|P57533|RIBD1_BUCAI 	 ProSitePatterns 	 50
147 	 sp|P57533|RIBD1_BUCAI 	 Pfam 	 3
147 	 sp|P57533|RIBD1_BUCAI 	 PANTHER 	 3
147 	 sp|P57533|RIBD1_BUCAI 	 FunFam 	 1
147 	 sp|P57533|RIBD1_BUCAI 	 NCBIfam 	 7
147 	 sp|P57533|RIBD1_BUCAI 	 Gene3D 	 1
909 	 sp|P57388|ODO1_BUCAI 	 SMART 	 568
909 	 sp|P57388|ODO1_BUCAI 	 Pfam 	 569
909 	 sp|P57388|ODO1_BUCAI 	 Pfam 	 257
909 	 sp|P57388|ODO1_BUCAI 	 Gene3D 	 147
909 	 sp|P57388|ODO1_BUCAI 	 Gene3D 	 698
909 	 sp|P57388|ODO1_BUCAI 	 Pfam 	 766
909 	 sp|P57388|ODO1_BUCAI 	 CDD 	 195
909 	 sp|P57388|ODO1_BUCAI 	 Gene3D 	 531
909 	 sp|P57388|ODO1_BUCAI 	 PANTHER 	 10
909 	 sp|P57388|ODO1_BUCAI 	 Gene3D 	 70
909 	 sp|P57388|ODO1_BUCAI 	 SUPERFAMILY 	 144
909 	 sp|P57388|ODO1_BUCAI 	 PIRSF 	 1
909 	 sp|P57388|ODO1_BUCAI 	 SUPERFAMILY 	 550
909 	 sp|P57388|ODO1_BUCAI 	 Pfam 	 12
909 	 sp|P57388|ODO1_BUCAI 	 NCBIfam 	 15
247 	 sp|P57387|GCH1L_BUCAI 	 Pfam 	 8
247 	 sp|P57387|GCH1L_BUCAI 	 Gene3D 	 8
247 	 sp|P57387|GCH1L_BUCAI 	 FunFam 	 97
247 	 sp|P57387|GCH1L_BUCAI 	 NCBIfam 	 2
247 	 sp|P57387|GCH1L_BUCAI 	 SUPERFAMILY 	 1
247 	 sp|P57387|GCH1L_BUCAI 	 PANTHER 	 13
247 	 sp|P57387|GCH1L_BUCAI 	 Gene3D 	 97
268 	 sp|P57326|EFTS_BUCAI 	 Coils 	 99
268 	 sp|P57326|EFTS_BUCAI 	 SUPERFAMILY 	 6
268 	 sp|P57326|EFTS_BUCAI 	 FunFam 	 2
268 	 sp|P57326|EFTS_BUCAI 	 NCBIfam 	 5
268 	 sp|P57326|EFTS_BUCAI 	 Gene3D 	 3
268 	 sp|P57326|EFTS_BUCAI 	 ProSitePatterns 	 13
268 	 sp|P57326|EFTS_BUCAI 	 Gene3D 	 147
268 	 sp|P57326|EFTS_BUCAI 	 Coils 	 25
268 	 sp|P57326|EFTS_BUCAI 	 ProSitePatterns 	 76
268 	 sp|P57326|EFTS_BUCAI 	 Pfam 	 72
268 	 sp|P57326|EFTS_BUCAI 	 Gene3D 	 183
268 	 sp|P57326|EFTS_BUCAI 	 Gene3D 	 57
268 	 sp|P57326|EFTS_BUCAI 	 SUPERFAMILY 	 58
268 	 sp|P57326|EFTS_BUCAI 	 CDD 	 9
268 	 sp|P57326|EFTS_BUCAI 	 Hamap 	 1
268 	 sp|P57326|EFTS_BUCAI 	 PANTHER 	 3
270 	 sp|P57411|MIND_BUCAI 	 Gene3D 	 1
270 	 sp|P57411|MIND_BUCAI 	 Pfam 	 2
270 	 sp|P57411|MIND_BUCAI 	 FunFam 	 1
270 	 sp|P57411|MIND_BUCAI 	 NCBIfam 	 3
270 	 sp|P57411|MIND_BUCAI 	 SUPERFAMILY 	 1
270 	 sp|P57411|MIND_BUCAI 	 PIRSF 	 1
270 	 sp|P57411|MIND_BUCAI 	 CDD 	 3
270 	 sp|P57411|MIND_BUCAI 	 PANTHER 	 3
336 	 sp|P57166|TSAD_BUCAI 	 Pfam 	 24
336 	 sp|P57166|TSAD_BUCAI 	 ProSitePatterns 	 95
336 	 sp|P57166|TSAD_BUCAI 	 SUPERFAMILY 	 101
336 	 sp|P57166|TSAD_BUCAI 	 NCBIfam 	 3
336 	 sp|P57166|TSAD_BUCAI 	 PANTHER 	 2
336 	 sp|P57166|TSAD_BUCAI 	 Hamap 	 1
336 	 sp|P57166|TSAD_BUCAI 	 SUPERFAMILY 	 3
336 	 sp|P57166|TSAD_BUCAI 	 FunFam 	 3
336 	 sp|P57166|TSAD_BUCAI 	 NCBIfam 	 4
336 	 sp|P57166|TSAD_BUCAI 	 Gene3D 	 3
336 	 sp|P57166|TSAD_BUCAI 	 PRINTS 	 4
336 	 sp|P57166|TSAD_BUCAI 	 PRINTS 	 96
336 	 sp|P57166|TSAD_BUCAI 	 PRINTS 	 153
336 	 sp|P57166|TSAD_BUCAI 	 PRINTS 	 75
336 	 sp|P57166|TSAD_BUCAI 	 PRINTS 	 262
336 	 sp|P57166|TSAD_BUCAI 	 PRINTS 	 130
336 	 sp|P57166|TSAD_BUCAI 	 Gene3D 	 128
100 	 sp|P57589|RL23_BUCAI 	 PANTHER 	 8
100 	 sp|P57589|RL23_BUCAI 	 SUPERFAMILY 	 6
100 	 sp|P57589|RL23_BUCAI 	 Hamap 	 8
100 	 sp|P57589|RL23_BUCAI 	 Gene3D 	 1
100 	 sp|P57589|RL23_BUCAI 	 FunFam 	 1
100 	 sp|P57589|RL23_BUCAI 	 Pfam 	 9
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 148
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 106
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 268
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 238
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 9
319 	 sp|P57399|TRXB_BUCAI 	 Gene3D 	 118
319 	 sp|P57399|TRXB_BUCAI 	 Gene3D 	 10
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 278
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 240
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 8
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 41
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 107
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 199
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 144
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 62
319 	 sp|P57399|TRXB_BUCAI 	 PRINTS 	 129
319 	 sp|P57399|TRXB_BUCAI 	 PANTHER 	 5
319 	 sp|P57399|TRXB_BUCAI 	 ProSitePatterns 	 136
319 	 sp|P57399|TRXB_BUCAI 	 Pfam 	 8
319 	 sp|P57399|TRXB_BUCAI 	 NCBIfam 	 8
319 	 sp|P57399|TRXB_BUCAI 	 SUPERFAMILY 	 2
360 	 sp|P57223|Y123_BUCAI 	 Pfam 	 15
360 	 sp|P57223|Y123_BUCAI 	 PANTHER 	 140
134 	 sp|P57252|NUOA_BUCAI 	 Gene3D 	 1
134 	 sp|P57252|NUOA_BUCAI 	 Hamap 	 7
134 	 sp|P57252|NUOA_BUCAI 	 Pfam 	 26
134 	 sp|P57252|NUOA_BUCAI 	 PANTHER 	 8
614 	 sp|P57262|NUOL_BUCAI 	 Pfam 	 133
614 	 sp|P57262|NUOL_BUCAI 	 Gene3D 	 537
614 	 sp|P57262|NUOL_BUCAI 	 Pfam 	 67
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 418
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 82
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 157
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 247
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 110
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 315
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 225
614 	 sp|P57262|NUOL_BUCAI 	 NCBIfam 	 3
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 58
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 84
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 417
614 	 sp|P57262|NUOL_BUCAI 	 PRINTS 	 265
614 	 sp|P57262|NUOL_BUCAI 	 PANTHER 	 2
130 	 sp|P57470|RS9_BUCAI 	 Gene3D 	 1
130 	 sp|P57470|RS9_BUCAI 	 Pfam 	 10
130 	 sp|P57470|RS9_BUCAI 	 Hamap 	 1
130 	 sp|P57470|RS9_BUCAI 	 FunFam 	 1
130 	 sp|P57470|RS9_BUCAI 	 ProSitePatterns 	 69
130 	 sp|P57470|RS9_BUCAI 	 PANTHER 	 4
130 	 sp|P57470|RS9_BUCAI 	 SUPERFAMILY 	 6
312 	 sp|P57236|SYGA_BUCAI 	 SUPERFAMILY 	 7
312 	 sp|P57236|SYGA_BUCAI 	 Hamap 	 6
312 	 sp|P57236|SYGA_BUCAI 	 ProSiteProfiles 	 7
312 	 sp|P57236|SYGA_BUCAI 	 PRINTS 	 112
312 	 sp|P57236|SYGA_BUCAI 	 PRINTS 	 60
312 	 sp|P57236|SYGA_BUCAI 	 PRINTS 	 161
312 	 sp|P57236|SYGA_BUCAI 	 PRINTS 	 138
312 	 sp|P57236|SYGA_BUCAI 	 PRINTS 	 81
312 	 sp|P57236|SYGA_BUCAI 	 PRINTS 	 252
312 	 sp|P57236|SYGA_BUCAI 	 PANTHER 	 8
312 	 sp|P57236|SYGA_BUCAI 	 FunFam 	 1
312 	 sp|P57236|SYGA_BUCAI 	 NCBIfam 	 7
312 	 sp|P57236|SYGA_BUCAI 	 Pfam 	 8
312 	 sp|P57236|SYGA_BUCAI 	 Gene3D 	 214
312 	 sp|P57236|SYGA_BUCAI 	 Gene3D 	 1
385 	 sp|P57472|CMPDT_BUCAI 	 Pfam 	 107
385 	 sp|P57472|CMPDT_BUCAI 	 Coils 	 35
385 	 sp|P57472|CMPDT_BUCAI 	 Gene3D 	 189
385 	 sp|P57472|CMPDT_BUCAI 	 Gene3D 	 291
385 	 sp|P57472|CMPDT_BUCAI 	 CDD 	 306
385 	 sp|P57472|CMPDT_BUCAI 	 ProSiteProfiles 	 105
385 	 sp|P57472|CMPDT_BUCAI 	 SMART 	 11
385 	 sp|P57472|CMPDT_BUCAI 	 PIRSF 	 1
385 	 sp|P57472|CMPDT_BUCAI 	 NCBIfam 	 7
385 	 sp|P57472|CMPDT_BUCAI 	 Gene3D 	 1
385 	 sp|P57472|CMPDT_BUCAI 	 SUPERFAMILY 	 6
385 	 sp|P57472|CMPDT_BUCAI 	 CDD 	 108
385 	 sp|P57472|CMPDT_BUCAI 	 PANTHER 	 13
385 	 sp|P57472|CMPDT_BUCAI 	 FunFam 	 189
385 	 sp|P57472|CMPDT_BUCAI 	 Gene3D 	 108
385 	 sp|P57472|CMPDT_BUCAI 	 Pfam 	 11
385 	 sp|P57472|CMPDT_BUCAI 	 SUPERFAMILY 	 280
385 	 sp|P57472|CMPDT_BUCAI 	 ProSitePatterns 	 261
385 	 sp|P57472|CMPDT_BUCAI 	 SUPERFAMILY 	 106
385 	 sp|P57472|CMPDT_BUCAI 	 ProSiteProfiles 	 299
385 	 sp|P57472|CMPDT_BUCAI 	 ProSiteProfiles 	 1
193 	 sp|P57209|DCD_BUCAI 	 SUPERFAMILY 	 1
193 	 sp|P57209|DCD_BUCAI 	 NCBIfam 	 2
193 	 sp|P57209|DCD_BUCAI 	 Pfam 	 78
193 	 sp|P57209|DCD_BUCAI 	 Hamap 	 1
193 	 sp|P57209|DCD_BUCAI 	 PANTHER 	 2
193 	 sp|P57209|DCD_BUCAI 	 Gene3D 	 1
193 	 sp|P57209|DCD_BUCAI 	 CDD 	 78
314 	 sp|P57651|HEM3_BUCAI 	 Gene3D 	 6
314 	 sp|P57651|HEM3_BUCAI 	 Hamap 	 5
314 	 sp|P57651|HEM3_BUCAI 	 ProSitePatterns 	 231
314 	 sp|P57651|HEM3_BUCAI 	 Gene3D 	 221
314 	 sp|P57651|HEM3_BUCAI 	 Pfam 	 6
314 	 sp|P57651|HEM3_BUCAI 	 FunFam 	 6
314 	 sp|P57651|HEM3_BUCAI 	 FunFam 	 106
314 	 sp|P57651|HEM3_BUCAI 	 PIRSF 	 1
314 	 sp|P57651|HEM3_BUCAI 	 PRINTS 	 45
314 	 sp|P57651|HEM3_BUCAI 	 PRINTS 	 143
314 	 sp|P57651|HEM3_BUCAI 	 PRINTS 	 76
314 	 sp|P57651|HEM3_BUCAI 	 PRINTS 	 124
314 	 sp|P57651|HEM3_BUCAI 	 PRINTS 	 230
314 	 sp|P57651|HEM3_BUCAI 	 CDD 	 5
314 	 sp|P57651|HEM3_BUCAI 	 PANTHER 	 3
314 	 sp|P57651|HEM3_BUCAI 	 SUPERFAMILY 	 220
314 	 sp|P57651|HEM3_BUCAI 	 NCBIfam 	 6
314 	 sp|P57651|HEM3_BUCAI 	 Gene3D 	 103
314 	 sp|P57651|HEM3_BUCAI 	 Pfam 	 226
314 	 sp|P57651|HEM3_BUCAI 	 FunFam 	 221
314 	 sp|P57651|HEM3_BUCAI 	 SUPERFAMILY 	 4
574 	 sp|Q44683|SYR_BUCAI 	 Pfam 	 97
574 	 sp|Q44683|SYR_BUCAI 	 Pfam 	 6
574 	 sp|Q44683|SYR_BUCAI 	 Gene3D 	 107
574 	 sp|Q44683|SYR_BUCAI 	 SMART 	 5
574 	 sp|Q44683|SYR_BUCAI 	 FunFam 	 452
574 	 sp|Q44683|SYR_BUCAI 	 PANTHER 	 8
574 	 sp|Q44683|SYR_BUCAI 	 SUPERFAMILY 	 107
574 	 sp|Q44683|SYR_BUCAI 	 SUPERFAMILY 	 3
574 	 sp|Q44683|SYR_BUCAI 	 ProSitePatterns 	 121
574 	 sp|Q44683|SYR_BUCAI 	 SMART 	 458
574 	 sp|Q44683|SYR_BUCAI 	 CDD 	 421
574 	 sp|Q44683|SYR_BUCAI 	 Hamap 	 1
574 	 sp|Q44683|SYR_BUCAI 	 PRINTS 	 301
574 	 sp|Q44683|SYR_BUCAI 	 PRINTS 	 152
574 	 sp|Q44683|SYR_BUCAI 	 PRINTS 	 113
574 	 sp|Q44683|SYR_BUCAI 	 PRINTS 	 128
574 	 sp|Q44683|SYR_BUCAI 	 Pfam 	 458
574 	 sp|Q44683|SYR_BUCAI 	 Gene3D 	 452
574 	 sp|Q44683|SYR_BUCAI 	 NCBIfam 	 4
574 	 sp|Q44683|SYR_BUCAI 	 Gene3D 	 1
574 	 sp|Q44683|SYR_BUCAI 	 CDD 	 113
574 	 sp|Q44683|SYR_BUCAI 	 FunFam 	 108
574 	 sp|Q44683|SYR_BUCAI 	 SUPERFAMILY 	 452
490 	 sp|P57655|ILVC_BUCAI 	 Pfam 	 361
490 	 sp|P57655|ILVC_BUCAI 	 Pfam 	 209
490 	 sp|P57655|ILVC_BUCAI 	 Gene3D 	 208
490 	 sp|P57655|ILVC_BUCAI 	 ProSiteProfiles 	 344
490 	 sp|P57655|ILVC_BUCAI 	 Pfam 	 33
490 	 sp|P57655|ILVC_BUCAI 	 SUPERFAMILY 	 26
490 	 sp|P57655|ILVC_BUCAI 	 Gene3D 	 1
490 	 sp|P57655|ILVC_BUCAI 	 SUPERFAMILY 	 209
490 	 sp|P57655|ILVC_BUCAI 	 NCBIfam 	 34
490 	 sp|P57655|ILVC_BUCAI 	 ProSiteProfiles 	 208
490 	 sp|P57655|ILVC_BUCAI 	 Hamap 	 21
490 	 sp|P57655|ILVC_BUCAI 	 ProSiteProfiles 	 16
490 	 sp|P57655|ILVC_BUCAI 	 PANTHER 	 356
490 	 sp|P57655|ILVC_BUCAI 	 SUPERFAMILY 	 347
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 9
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 264
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 293
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 177
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 138
473 	 sp|P57303|DLDH_BUCAI 	 SUPERFAMILY 	 345
473 	 sp|P57303|DLDH_BUCAI 	 PANTHER 	 8
473 	 sp|P57303|DLDH_BUCAI 	 FunFam 	 346
473 	 sp|P57303|DLDH_BUCAI 	 PIRSF 	 1
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 141
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 41
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 430
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 343
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 265
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 177
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 308
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 8
473 	 sp|P57303|DLDH_BUCAI 	 PRINTS 	 408
473 	 sp|P57303|DLDH_BUCAI 	 Pfam 	 8
473 	 sp|P57303|DLDH_BUCAI 	 Pfam 	 347
473 	 sp|P57303|DLDH_BUCAI 	 SUPERFAMILY 	 1
473 	 sp|P57303|DLDH_BUCAI 	 Gene3D 	 346
473 	 sp|P57303|DLDH_BUCAI 	 NCBIfam 	 8
473 	 sp|P57303|DLDH_BUCAI 	 ProSitePatterns 	 42
473 	 sp|P57303|DLDH_BUCAI 	 Gene3D 	 9
