Gene	UniProtID	Accession	Protein_Name	Terms(GO/InterPro)	Term_Description	Term_namespace/type
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity	F
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	GO:0019134	glucosamine-1-phosphate N-acetyltransferase activity	F
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	GO:0006048	UDP-N-acetylglucosamine biosynthetic process	P
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	GO:0016740	transferase activity	F
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	GO:0000287	magnesium ion binding	F
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	GO:0000902	cell morphogenesis	P
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	GO:0009252	peptidoglycan biosynthetic process	P
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	GO:0005737	cytoplasm	C
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	IPR001451	Hexapeptide repeat	repeat
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	IPR005882	Bifunctional protein GlmU	family
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	IPR011004	Trimeric LpxA-like superfamily	homologous_superfamily
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	IPR018357	Hexapeptide transferase, conserved site	conserved_site
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	IPR025877	MobA-like NTP transferase	domain
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	IPR029044	Nucleotide-diphospho-sugar transferases	homologous_superfamily
glmU	P57139	GLMU_BUCAI	Bifunctional protein GlmU	IPR038009	GlmU, C-terminal LbH domain	domain
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	GO:0004326	tetrahydrofolylpolyglutamate synthase activity	F
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	GO:0005524	ATP binding	F
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	GO:0009396	folic acid-containing compound biosynthetic process	P
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	GO:0016881	acid-amino acid ligase activity	F
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	GO:0009058	biosynthetic process	P
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	IPR001645	Folylpolyglutamate synthetase	family
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	IPR018109	Folylpolyglutamate synthetase, conserved site	conserved_site
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	IPR036565	Mur-like, catalytic domain superfamily	homologous_superfamily
folC	P57265	FOLC_BUCAI	Dihydrofolate synthase/folylpolyglutamate synthase	IPR036615	Mur ligase, C-terminal domain superfamily	homologous_superfamily
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	GO:0000287	magnesium ion binding	F
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	GO:0004749	ribose phosphate diphosphokinase activity	F
prs	P57266	KPRS_BUCAI	Ribose-phosphate pyrophosphokinase	GO:0009165	nucleotide biosynthetic process	P
