UniProtKB ID	Gene	Proteína	Domain/Family/Active site	Tipo	InterPro	GO
P57394	ihfB	Integration host factor subunit beta	"Histone-like DNA-binding protein, conserved site"	Conserved_site	IPR020816	GO:0003677(InterPro)
P57144	hup	DNA-binding protein HU	"Histone-like DNA-binding protein, conserved site"	Conserved_site	IPR020816	GO:0003677(InterPro)
P57231	ihfA	Integration host factor subunit alpha	"Histone-like DNA-binding protein, conserved site"	Conserved_site	IPR020816	GO:0003677(InterPro)
O05385	rpoH	RNA polymerase sigma factor RpoH	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
O05385	rpoH	RNA polymerase sigma factor RpoH	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
O05385	rpoH	RNA polymerase sigma factor RpoH	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
O05385	rpoH	RNA polymerase sigma factor RpoH	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
O05385	rpoH	RNA polymerase sigma factor RpoH	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
O05385	rpoH	RNA polymerase sigma factor RpoH	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
P57163	rpoD	RNA polymerase sigma factor RpoD	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
P57163	rpoD	RNA polymerase sigma factor RpoD	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
P57163	rpoD	RNA polymerase sigma factor RpoD	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
P57163	rpoD	RNA polymerase sigma factor RpoD	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
P57163	rpoD	RNA polymerase sigma factor RpoD	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
P57163	rpoD	RNA polymerase sigma factor RpoD	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
P57163	rpoD	RNA polymerase sigma factor RpoD	RNA polymerase sigma-70	Domain	IPR000943	"GO:0003700(InterPro), GO:0006352(InterPro), GO:0006355(InterPro)"
P57294	dksA	RNA polymerase-binding transcription factor DksA	"Zinc finger, DksA/TraR C4-type"	Domain	IPR000962	GO:0008270(InterPro)
P63237	cspE	Cold shock-like protein CspE	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P63237	cspE	Cold shock-like protein CspE	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P63237	cspE	Cold shock-like protein CspE	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P63237	cspE	Cold shock-like protein CspE	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P63237	cspE	Cold shock-like protein CspE	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P63237	cspE	Cold shock-like protein CspE	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P57407	cspC	Cold shock-like protein CspC	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P57407	cspC	Cold shock-like protein CspC	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P57407	cspC	Cold shock-like protein CspC	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P57407	cspC	Cold shock-like protein CspC	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P57407	cspC	Cold shock-like protein CspC	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P57407	cspC	Cold shock-like protein CspC	"Cold-shock protein, DNA-binding"	Domain	IPR002059	GO:0003676(InterPro)
P57480	fis	DNA-binding protein Fis	"DNA binding HTH domain, Fis-type"	Domain	IPR002197	GO:0043565(InterPro)
P57480	fis	DNA-binding protein Fis	"DNA binding HTH domain, Fis-type"	Domain	IPR002197	GO:0043565(InterPro)
P57480	fis	DNA-binding protein Fis	"DNA binding HTH domain, Fis-type"	Domain	IPR002197	GO:0043565(InterPro)
P57164	dnaG	DNA primase	"Zinc finger, CHC2-type"	Domain	IPR002694	"GO:0003677(InterPro), GO:0003896(InterPro), GO:0006260(InterPro), GO:0008270(InterPro)"
P57164	dnaG	DNA primase	"Zinc finger, CHC2-type"	Domain	IPR002694	"GO:0003677(InterPro), GO:0003896(InterPro), GO:0006260(InterPro), GO:0008270(InterPro)"
P57172	ligA	DNA ligase	"Helix-hairpin-helix DNA-binding motif, class 1"	Domain	IPR003583	"GO:0003677(InterPro), GO:0006281(InterPro)"
P57172	ligA	DNA ligase	"Helix-hairpin-helix DNA-binding motif, class 1"	Domain	IPR003583	"GO:0003677(InterPro), GO:0006281(InterPro)"
P57172	ligA	DNA ligase	"Helix-hairpin-helix DNA-binding motif, class 1"	Domain	IPR003583	"GO:0003677(InterPro), GO:0006281(InterPro)"
P57371	topA	DNA topoisomerase 1	"DNA topoisomerase, type IA, DNA-binding domain"	Domain	IPR003602	"GO:0003677(InterPro), GO:0003916(InterPro), GO:0006265(InterPro)"
